service_date,line,estimated_boardings,ObjectId
2020/07/31 04:00:00+00,Franklin/Foxboro,1387,340
2020/07/31 04:00:00+00,Middleborough/Lakeville,932,341
2020/07/31 04:00:00+00,Lowell,844,342
2020/07/31 04:00:00+00,Haverhill,611,343
2020/07/31 04:00:00+00,Kingston,683,344
2020/07/31 04:00:00+00,Needham,587,345
2020/07/31 04:00:00+00,Fitchburg,605.5,346
2020/07/31 04:00:00+00,Greenbush,301,347
2020/07/31 04:00:00+00,Fairmount,387.5,348
2020/08/03 04:00:00+00,Providence/Stoughton,3028,349
2020/08/03 04:00:00+00,Newburyport/Rockport,1441,350
2020/07/02 04:00:00+00,Middleborough/Lakeville,783,351
2020/07/02 04:00:00+00,Lowell,869,352
2020/07/02 04:00:00+00,Haverhill,569,353
2020/07/02 04:00:00+00,Kingston,519,354
2020/07/02 04:00:00+00,Needham,328,355
2020/07/02 04:00:00+00,Fitchburg,658,356
2020/07/02 04:00:00+00,Greenbush,297,357
2020/07/02 04:00:00+00,Fairmount,271,358
2020/07/06 04:00:00+00,Providence/Stoughton,2051.5,359
2020/07/06 04:00:00+00,Newburyport/Rockport,1308,360
2020/07/06 04:00:00+00,Framingham/Worcester,201,361
2020/07/06 04:00:00+00,Franklin/Foxboro,714.5,362
2020/07/06 04:00:00+00,Middleborough/Lakeville,776,363
2020/07/06 04:00:00+00,Lowell,791,364
2020/07/06 04:00:00+00,Haverhill,635,365
2020/07/06 04:00:00+00,Kingston,490,366
2020/07/06 04:00:00+00,Needham,310,367
2020/07/06 04:00:00+00,Fitchburg,492,368
2020/07/06 04:00:00+00,Greenbush,285,369
2020/07/06 04:00:00+00,Fairmount,251,370
2020/07/07 04:00:00+00,Providence/Stoughton,2147.5,371
2020/07/07 04:00:00+00,Newburyport/Rockport,1497,372
2020/07/07 04:00:00+00,Framingham/Worcester,243,373
2020/07/07 04:00:00+00,Franklin/Foxboro,820,374
2020/07/07 04:00:00+00,Middleborough/Lakeville,918,375
2020/07/07 04:00:00+00,Lowell,905,376
2020/07/07 04:00:00+00,Haverhill,690,377
2020/07/07 04:00:00+00,Kingston,727,378
2020/07/07 04:00:00+00,Needham,382,379
2020/07/07 04:00:00+00,Fitchburg,564,380
2020/07/07 04:00:00+00,Greenbush,319,381
2020/07/07 04:00:00+00,Fairmount,283.5,382
2020/07/08 04:00:00+00,Providence/Stoughton,2328.5,383
2020/07/08 04:00:00+00,Newburyport/Rockport,1415,384
2020/07/08 04:00:00+00,Framingham/Worcester,318.5,385
2020/07/08 04:00:00+00,Franklin/Foxboro,1066,386
2020/07/08 04:00:00+00,Middleborough/Lakeville,939,387
2020/07/08 04:00:00+00,Lowell,860.5,388
2020/07/08 04:00:00+00,Haverhill,724,389
2020/07/08 04:00:00+00,Kingston,668.5,390
2020/07/08 04:00:00+00,Needham,426,391
2020/07/08 04:00:00+00,Fitchburg,525,392
2020/07/08 04:00:00+00,Greenbush,277,393
2020/07/08 04:00:00+00,Fairmount,304,394
2020/07/09 04:00:00+00,Providence/Stoughton,2442.5,395
2020/07/09 04:00:00+00,Newburyport/Rockport,1492,396
2020/07/09 04:00:00+00,Framingham/Worcester,546,397
2020/07/09 04:00:00+00,Franklin/Foxboro,1180,398
2020/07/09 04:00:00+00,Middleborough/Lakeville,871,399
2020/07/09 04:00:00+00,Lowell,1025.5,400
2020/09/01 04:00:00+00,Providence/Stoughton,2823.5,401
2020/09/01 04:00:00+00,Newburyport/Rockport,1774,402
2020/09/01 04:00:00+00,Framingham/Worcester,1207.5,403
2020/09/01 04:00:00+00,Franklin/Foxboro,1463.5,404
2020/09/01 04:00:00+00,Middleborough/Lakeville,942.5,405
2020/09/01 04:00:00+00,Lowell,1058,406
2020/09/01 04:00:00+00,Haverhill,796,407
2020/09/01 04:00:00+00,Kingston,771,408
2020/09/01 04:00:00+00,Needham,527,409
2020/09/01 04:00:00+00,Fitchburg,764,410
2020/09/01 04:00:00+00,Greenbush,396.5,411
2020/09/01 04:00:00+00,Fairmount,440,412
2020/09/02 04:00:00+00,Providence/Stoughton,2666,413
2020/09/02 04:00:00+00,Newburyport/Rockport,1525,414
2020/09/02 04:00:00+00,Framingham/Worcester,1408,415
2020/09/02 04:00:00+00,Franklin/Foxboro,1539.5,416
2020/09/02 04:00:00+00,Middleborough/Lakeville,848,417
2020/09/02 04:00:00+00,Lowell,1031,418
2020/09/02 04:00:00+00,Haverhill,708,419
2020/09/02 04:00:00+00,Kingston,775,420
2020/09/02 04:00:00+00,Needham,2156.5,421
2020/09/02 04:00:00+00,Fitchburg,714,422
2020/09/02 04:00:00+00,Greenbush,354,423
2020/09/02 04:00:00+00,Fairmount,413.5,424
2020/09/03 04:00:00+00,Providence/Stoughton,2650.5,425
2020/09/03 04:00:00+00,Newburyport/Rockport,1608,426
2020/09/03 04:00:00+00,Framingham/Worcester,1405,427
2020/09/03 04:00:00+00,Franklin/Foxboro,1522.5,428
2020/09/03 04:00:00+00,Middleborough/Lakeville,919,429
2020/09/03 04:00:00+00,Lowell,1050,430
2020/09/03 04:00:00+00,Haverhill,732,431
2020/09/03 04:00:00+00,Kingston,751,432
2020/08/07 04:00:00+00,Middleborough/Lakeville,938,433
2020/09/03 04:00:00+00,Needham,558,434
2020/09/03 04:00:00+00,Fitchburg,751,435
2020/09/03 04:00:00+00,Greenbush,360,436
2020/09/03 04:00:00+00,Fairmount,352,437
2020/09/04 04:00:00+00,Providence/Stoughton,2690,438
2020/09/04 04:00:00+00,Newburyport/Rockport,1828,439
2020/09/04 04:00:00+00,Framingham/Worcester,1639.5,440
2020/09/04 04:00:00+00,Franklin/Foxboro,1580,441
2020/09/04 04:00:00+00,Middleborough/Lakeville,942,442
2020/09/04 04:00:00+00,Lowell,1139,443
2020/09/04 04:00:00+00,Haverhill,802,444
2020/09/04 04:00:00+00,Kingston,676,445
2020/09/04 04:00:00+00,Needham,504.5,446
2020/09/04 04:00:00+00,Fitchburg,823,447
2020/09/04 04:00:00+00,Greenbush,332,448
2020/09/04 04:00:00+00,Fairmount,406,449
2020/09/07 04:00:00+00,Providence/Stoughton,2870.5,450
2020/09/07 04:00:00+00,Newburyport/Rockport,1725.5,451
2020/08/19 04:00:00+00,Needham,920,452
2020/08/19 04:00:00+00,Fitchburg,695,453
2020/08/19 04:00:00+00,Greenbush,370.5,454
2020/08/19 04:00:00+00,Fairmount,465.5,455
2020/08/20 04:00:00+00,Providence/Stoughton,3124.5,456
2020/08/20 04:00:00+00,Newburyport/Rockport,1751,457
2020/08/20 04:00:00+00,Framingham/Worcester,1533.5,458
2020/08/20 04:00:00+00,Franklin/Foxboro,1424,459
2020/08/20 04:00:00+00,Middleborough/Lakeville,1039,460
2020/08/20 04:00:00+00,Lowell,909,461
2020/08/20 04:00:00+00,Haverhill,712,462
2020/08/20 04:00:00+00,Kingston,705.5,463
2020/08/20 04:00:00+00,Needham,879,464
2020/08/20 04:00:00+00,Fitchburg,697,465
2020/08/20 04:00:00+00,Greenbush,387.5,466
2020/08/20 04:00:00+00,Fairmount,413,467
2020/08/21 04:00:00+00,Providence/Stoughton,3024.5,468
2020/08/21 04:00:00+00,Newburyport/Rockport,1752,469
2020/08/21 04:00:00+00,Framingham/Worcester,1356,470
2020/08/21 04:00:00+00,Franklin/Foxboro,1292,471
2020/08/21 04:00:00+00,Middleborough/Lakeville,850.5,472
2020/08/21 04:00:00+00,Lowell,857,473
2020/08/21 04:00:00+00,Haverhill,631,474
2020/08/21 04:00:00+00,Kingston,648,475
