service_date,line,est_ridership,num_slow_zones,total_track_pct,total_miles_affected,otp_score,day_of_week,month,num_alerts
2023-05-09,green,53859.12658,67.0,0.181437667,9.795643948,0.8112941323639309,Tuesday,May,1.0
2023-05-09,orange,80603.12,28.0,0.153471639,3.459280306,0.9342005389923763,Tuesday,May,0.0
2023-05-09,red,94504.92,95.0,0.221611395,10.507215924,0.9033302800867092,Tuesday,May,1.0
2023-05-10,blue,37132.8,20.0,0.350947882,4.37982955,0.9079730571100578,Wednesday,May,0.0
2023-05-10,green,55572.679911,67.0,0.181437667,9.795643948,0.8118378600240906,Wednesday,May,2.0
2023-05-10,orange,77556.19,28.0,0.153471639,3.459280306,0.9497465953591547,Wednesday,May,0.0
2023-05-10,red,95181.33,94.0,0.220013471,10.431458348,0.914353632747752,Wednesday,May,1.0
2023-05-11,blue,36666.3,20.0,0.350947882,4.37982955,0.8234183435443709,Thursday,May,2.0
2023-05-11,green,54975.499909,67.0,0.181437667,9.795643948,0.8035277737603176,Thursday,May,2.0
2023-05-11,orange,75877.2,35.0,0.191282435,4.311553034,0.9437504596279125,Thursday,May,0.0
2023-05-11,red,93280.8,94.0,0.220013471,10.431458348,0.9353649445843961,Thursday,May,3.0
2023-05-12,blue,37574.6,20.0,0.350947882,4.37982955,0.7895019717925444,Friday,May,3.0
2023-05-12,green,60925.513254,67.0,0.181437667,9.795643948,0.8215856605386073,Friday,May,0.0
2023-05-12,orange,71229.35,35.0,0.191282435,4.311553034,0.963009401483959,Friday,May,1.0
2023-05-12,red,85217.57,94.0,0.220013471,10.431458348,0.9290057532771445,Friday,May,0.0
2023-05-13,blue,29609.1,20.0,0.350947882,4.37982955,0.9049984969562297,Saturday,May,1.0
2023-05-13,green,48451.349913,67.0,0.181437667,9.795643948,0.7386787742307488,Saturday,May,0.0
2023-05-13,orange,38587.98,34.0,0.168595495,3.800189398,0.9397681300851594,Saturday,May,1.0
2023-05-13,red,30780.17,93.0,0.214820218,10.185246226,0.9268284447908723,Saturday,May,2.0
2023-05-14,blue,23071.0,20.0,0.350947882,4.37982955,0.853164090237879,Sunday,May,0.0
2023-05-14,green,36277.646594,67.0,0.181437667,9.795643948,0.7546415848277143,Sunday,May,0.0
2023-05-14,orange,37395.78,34.0,0.168595495,3.800189398,0.9840619141611622,Sunday,May,0.0
2023-05-14,red,27466.44,93.0,0.214820218,10.185246226,0.9227361583020598,Sunday,May,0.0
